user_id,avg_daily_steps,stddev_steps,min_daily_steps,max_daily_steps,step_cv_pct,consistency_band
2873212765,7556.0,1514.0,2524,9685,20.0,Consistent
2022484408,11371.0,2807.0,3292,18387,24.7,Consistent
1503960366,12117.0,3052.0,0,18134,25.2,Consistent
3372868164,6862.0,1842.0,3077,9715,26.9,Consistent
3977333714,10985.0,3134.0,746,16520,28.5,Consistent
4558609924,7685.0,2357.0,3428,13743,30.7,Consistent
4388161847,10814.0,3373.0,3369,22770,31.2,Consistent
8877689391,16040.0,5821.0,4790,29326,36.3,Consistent
8053475328,14763.0,5441.0,1170,22988,36.9,Consistent
6962181067,9795.0,3942.0,1551,20031,40.2,Consistent
4702921684,8572.0,3452.0,0,15126,40.3,Consistent
4445114986,4797.0,1937.0,768,9105,40.4,Consistent
7086361926,9372.0,3857.0,0,14560,41.2,Consistent
8378563200,8718.0,3929.0,2132,16208,45.1,Consistent
5577150313,8304.0,3847.0,0,15764,46.3,Consistent
7007744171,11323.0,5306.0,0,20067,46.9,Consistent
8583815059,7199.0,3402.0,0,15168,47.3,Consistent
4319703577,7269.0,3467.0,17,13658,47.7,Consistent
2320127002,4717.0,2255.0,772,10725,47.8,Consistent
8253242879,6482.0,3141.0,0,11268,48.5,Consistent
2347167796,9520.0,4682.0,42,22244,49.2,Consistent
6290855005,5650.0,2858.0,0,9837,50.6,Moderate
2026352035,5567.0,2978.0,254,12357,53.5,Moderate
5553957443,8613.0,5075.0,655,17022,58.9,Moderate
1644430081,7283.0,4325.0,1223,18213,59.4,Moderate
6117666160,7047.0,4888.0,0,19542,69.4,Moderate
4057192912,3838.0,2692.0,0,5974,70.1,Moderate
1844505072,2580.0,2713.0,0,8054,105.1,Inconsistent
1624580081,5744.0,6177.0,1510,36019,107.5,Inconsistent
6775888955,2520.0,3028.0,0,10771,120.2,Inconsistent
8792009665,1854.0,2327.0,0,8360,125.6,Inconsistent
1927972279,916.0,1205.0,0,3790,131.6,Inconsistent
4020332650,2267.0,3370.0,0,11728,148.6,Inconsistent
