cohort_month,cohort_size,total_cohort_revenue,ltv_per_customer
2017-01-01,717,114596.44,159.83
2017-02-01,1628,239788.46,147.29
2017-03-01,2503,371645.15,148.48
2017-04-01,2256,351496.79,155.81
2017-05-01,3451,502508.72,145.61
2017-06-01,3037,434368.18,143.03
2017-07-01,3752,490736.52,130.79
2017-08-01,4057,566249.59,139.57
2017-09-01,4004,613856.99,153.31
2017-10-01,4328,652054.08,150.66
2017-11-01,7060,991983.85,140.51
2017-12-01,5338,721523.22,135.17
2018-01-01,6842,921642.55,134.7
2018-02-01,6288,827691.11,131.63
2018-03-01,6774,946901.05,139.78
2018-04-01,6582,962225.03,146.19
2018-05-01,6506,963884.08,148.15
2018-06-01,5878,834710.45,142.01
2018-07-01,5949,851647.43,143.16
2018-08-01,6144,820059.08,133.47
