customer_state,state_name,region,population_2017,gdp_per_capita_2017_brl,total_orders,total_gmv,gmv_per_1000_population
SP,Sao Paulo,Southeast,44749699,46376,40501,5067633.16,113.24
RJ,Rio de Janeiro,Southeast,16718956,43034,12350,1759651.13,105.25
DF,Federal District,Central-West,2974703,83786,2080,296498.41,99.67
MG,Minas Gerais,Southeast,21040662,24773,11354,1552481.83,73.78
SC,Santa Catarina,South,7075494,38296,3546,507012.13,71.66
ES,Espirito Santo,Southeast,3972388,29073,1995,268643.45,67.63
RS,Rio Grande do Sul,South,11329605,37072,5345,728897.47,64.34
PR,Parana,South,11348937,35376,4923,666063.51,58.69
MT,Mato Grosso,Central-West,3264531,31087,886,152191.62,46.62
MS,Mato Grosso do Sul,Central-West,2682386,29113,701,115429.97,43.03
GO,Goias,Central-West,6695855,25557,1957,282836.7,42.24
BA,Bahia,Northeast,15344447,15114,3256,493584.14,32.17
TO,Tocantins,North,1532902,20234,274,48402.51,31.58
PB,Paraiba,Northeast,3994495,13193,517,112586.82,28.19
PE,Pernambuco,Northeast,9473266,17339,1593,251889.49,26.59
PI,Piaui,Northeast,3212180,11854,476,84721.0,26.37
RO,Rondonia,North,1777522,22539,243,45682.76,25.7
SE,Sergipe,Northeast,2278308,16019,335,56574.19,24.83
CE,Ceara,Northeast,9020460,14983,1279,219757.38,24.36
AL,Alagoas,Northeast,3337357,11750,397,78855.72,23.63
RN,Rio Grande do Norte,Northeast,3479010,16196,474,82105.66,23.6
PA,Para,North,8272724,14419,946,174470.59,21.09
AC,Acre,North,869265,17574,80,15930.97,18.33
AP,Amapa,North,782295,18261,67,13374.81,17.1
MA,Maranhao,Northeast,7000229,10449,717,117009.38,16.72
RR,Roraima,North,514229,21988,41,7057.47,13.72
AM,Amazonas,North,3938336,21482,145,22155.84,5.63
